Cell	Cell_Type	Gender
L19.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N4.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N13.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J13.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K13.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O21.MAA000550.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C19.MAA000553.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D19.MAA000553.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
H17.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K11.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A17.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
F2.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N2.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P13.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P12.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J8.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
F3.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
H21.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K14.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P16.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A21.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C7.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
I2.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K15.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
L21.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P17.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
L22.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D20.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
G18.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P19.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C12.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
E1.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
G20.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B3.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J14.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
F11.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K20.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O17.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P20.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
E3.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A2.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
C16.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
K22.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N11.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
O19.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
H3.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
L4.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N12.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N15.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B7.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N17.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
P1.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A6.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
A5.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
E8.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B9.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N18.MAA000560.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
