Cell	Cell_Type	Gender
C11.MAA000553.3_10_M.1.1	endothelial_cell	M
C12.MAA000553.3_10_M.1.1	endothelial_cell	M
K11.MAA000553.3_10_M.1.1	endothelial_cell	M
L11.MAA000553.3_10_M.1.1	endothelial_cell	M
M11.MAA000553.3_10_M.1.1	endothelial_cell	M
C22.MAA000553.3_10_M.1.1	endothelial_cell	M
D11.MAA000553.3_10_M.1.1	endothelial_cell	M
N10.MAA000553.3_10_M.1.1	endothelial_cell	M
N11.MAA000553.3_10_M.1.1	endothelial_cell	M
O10.MAA000553.3_10_M.1.1	endothelial_cell	M
F11.MAA000553.3_10_M.1.1	endothelial_cell	M
O18.MAA000553.3_10_M.1.1	endothelial_cell	M
G11.MAA000553.3_10_M.1.1	endothelial_cell	M
P10.MAA000553.3_10_M.1.1	endothelial_cell	M
H16.MAA000553.3_10_M.1.1	endothelial_cell	M
E2.MAA000560.3_10_M.1.1	endothelial_cell	M
J17.MAA000560.3_10_M.1.1	endothelial_cell	M
D10.MAA000560.3_10_M.1.1	endothelial_cell	M
D21.MAA000561.3_10_M.1.1	endothelial_cell	M
I22.MAA000561.3_10_M.1.1	endothelial_cell	M
E19.MAA000561.3_10_M.1.1	endothelial_cell	M
A22.MAA000561.3_10_M.1.1	endothelial_cell	M
B17.MAA000561.3_10_M.1.1	endothelial_cell	M
L17.MAA000561.3_10_M.1.1	endothelial_cell	M
G20.MAA000561.3_10_M.1.1	endothelial_cell	M
H15.MAA000561.3_10_M.1.1	endothelial_cell	M
D18.MAA000561.3_10_M.1.1	endothelial_cell	M
N12.MAA000561.3_10_M.1.1	endothelial_cell	M
N21.MAA000561.3_10_M.1.1	endothelial_cell	M
O16.MAA000561.3_10_M.1.1	endothelial_cell	M
O18.MAA000561.3_10_M.1.1	endothelial_cell	M
M16.MAA000561.3_10_M.1.1	endothelial_cell	M
M21.MAA000561.3_10_M.1.1	endothelial_cell	M
P22.MAA000561.3_10_M.1.1	endothelial_cell	M
P7.MAA000563.3_10_M.1.1	endothelial_cell	M
F11.MAA000564.3_10_M.1.1	endothelial_cell	M
B20.MAA000564.3_10_M.1.1	endothelial_cell	M
G4.MAA000564.3_10_M.1.1	endothelial_cell	M
G9.MAA000564.3_10_M.1.1	endothelial_cell	M
A1.MAA000564.3_10_M.1.1	endothelial_cell	M
D5.MAA000564.3_10_M.1.1	endothelial_cell	M
A20.MAA000564.3_10_M.1.1	endothelial_cell	M
O11.MAA000564.3_10_M.1.1	endothelial_cell	M
O15.MAA000564.3_10_M.1.1	endothelial_cell	M
N2.MAA000564.3_10_M.1.1	endothelial_cell	M
I20.MAA000564.3_10_M.1.1	endothelial_cell	M
J4.MAA000564.3_10_M.1.1	endothelial_cell	M
N5.MAA000564.3_10_M.1.1	endothelial_cell	M
N6.MAA000564.3_10_M.1.1	endothelial_cell	M
O21.MAA000564.3_10_M.1.1	endothelial_cell	M
J16.MAA000564.3_10_M.1.1	endothelial_cell	M
N11.MAA000564.3_10_M.1.1	endothelial_cell	M
P3.MAA000564.3_10_M.1.1	endothelial_cell	M
K1.MAA000564.3_10_M.1.1	endothelial_cell	M
N18.MAA000564.3_10_M.1.1	endothelial_cell	M
M5.MAA000564.3_10_M.1.1	endothelial_cell	M
N21.MAA000564.3_10_M.1.1	endothelial_cell	M
K3.MAA000564.3_10_M.1.1	endothelial_cell	M
P11.MAA000564.3_10_M.1.1	endothelial_cell	M
O3.MAA000564.3_10_M.1.1	endothelial_cell	M
K11.MAA000564.3_10_M.1.1	endothelial_cell	M
K13.MAA000564.3_10_M.1.1	endothelial_cell	M
M16.MAA000564.3_10_M.1.1	endothelial_cell	M
A16.MAA000581.3_10_M.1.1	endothelial_cell	M
J13.MAA000581.3_10_M.1.1	endothelial_cell	M
A17.MAA000581.3_10_M.1.1	endothelial_cell	M
J14.MAA000581.3_10_M.1.1	endothelial_cell	M
K19.MAA000581.3_10_M.1.1	endothelial_cell	M
I13.MAA000581.3_10_M.1.1	endothelial_cell	M
K21.MAA000581.3_10_M.1.1	endothelial_cell	M
J16.MAA000581.3_10_M.1.1	endothelial_cell	M
H12.MAA000581.3_10_M.1.1	endothelial_cell	M
H13.MAA000581.3_10_M.1.1	endothelial_cell	M
J18.MAA000581.3_10_M.1.1	endothelial_cell	M
A22.MAA000581.3_10_M.1.1	endothelial_cell	M
H14.MAA000581.3_10_M.1.1	endothelial_cell	M
I16.MAA000581.3_10_M.1.1	endothelial_cell	M
G14.MAA000581.3_10_M.1.1	endothelial_cell	M
J20.MAA000581.3_10_M.1.1	endothelial_cell	M
G16.MAA000581.3_10_M.1.1	endothelial_cell	M
H17.MAA000581.3_10_M.1.1	endothelial_cell	M
E12.MAA000581.3_10_M.1.1	endothelial_cell	M
F14.MAA000581.3_10_M.1.1	endothelial_cell	M
I22.MAA000581.3_10_M.1.1	endothelial_cell	M
E13.MAA000581.3_10_M.1.1	endothelial_cell	M
F16.MAA000581.3_10_M.1.1	endothelial_cell	M
A5.MAA000581.3_10_M.1.1	endothelial_cell	M
L10.MAA000581.3_10_M.1.1	endothelial_cell	M
F18.MAA000581.3_10_M.1.1	endothelial_cell	M
D14.MAA000581.3_10_M.1.1	endothelial_cell	M
E18.MAA000581.3_10_M.1.1	endothelial_cell	M
B11.MAA000581.3_10_M.1.1	endothelial_cell	M
C13.MAA000581.3_10_M.1.1	endothelial_cell	M
D15.MAA000581.3_10_M.1.1	endothelial_cell	M
E19.MAA000581.3_10_M.1.1	endothelial_cell	M
F22.MAA000581.3_10_M.1.1	endothelial_cell	M
L14.MAA000581.3_10_M.1.1	endothelial_cell	M
D16.MAA000581.3_10_M.1.1	endothelial_cell	M
E20.MAA000581.3_10_M.1.1	endothelial_cell	M
K12.MAA000581.3_10_M.1.1	endothelial_cell	M
K13.MAA000581.3_10_M.1.1	endothelial_cell	M
A12.MAA000581.3_10_M.1.1	endothelial_cell	M
B14.MAA000581.3_10_M.1.1	endothelial_cell	M
C16.MAA000581.3_10_M.1.1	endothelial_cell	M
B13.MAA000581.3_10_M.1.1	endothelial_cell	M
B15.MAA000581.3_10_M.1.1	endothelial_cell	M
D19.MAA000581.3_10_M.1.1	endothelial_cell	M
H5.MAA000581.3_10_M.1.1	endothelial_cell	M
K14.MAA000581.3_10_M.1.1	endothelial_cell	M
K15.MAA000581.3_10_M.1.1	endothelial_cell	M
P6.MAA000581.3_10_M.1.1	endothelial_cell	M
A15.MAA000581.3_10_M.1.1	endothelial_cell	M
C19.MAA000581.3_10_M.1.1	endothelial_cell	M
L22.MAA000581.3_10_M.1.1	endothelial_cell	M
O6.MAA000581.3_10_M.1.1	endothelial_cell	M
P12.MAA000581.3_10_M.1.1	endothelial_cell	M
P13.MAA000581.3_10_M.1.1	endothelial_cell	M
O13.MAA000581.3_10_M.1.1	endothelial_cell	M
N12.MAA000581.3_10_M.1.1	endothelial_cell	M
O14.MAA000581.3_10_M.1.1	endothelial_cell	M
N13.MAA000581.3_10_M.1.1	endothelial_cell	M
O15.MAA000581.3_10_M.1.1	endothelial_cell	M
N14.MAA000581.3_10_M.1.1	endothelial_cell	M
O16.MAA000581.3_10_M.1.1	endothelial_cell	M
N15.MAA000581.3_10_M.1.1	endothelial_cell	M
M13.MAA000581.3_10_M.1.1	endothelial_cell	M
N16.MAA000581.3_10_M.1.1	endothelial_cell	M
M14.MAA000581.3_10_M.1.1	endothelial_cell	M
M16.MAA000581.3_10_M.1.1	endothelial_cell	M
M17.MAA000581.3_10_M.1.1	endothelial_cell	M
N20.MAA000581.3_10_M.1.1	endothelial_cell	M
N22.MAA000581.3_10_M.1.1	endothelial_cell	M
L16.MAA000581.3_10_M.1.1	endothelial_cell	M
N21.MAA000581.3_10_M.1.1	endothelial_cell	M
P1.MAA000581.3_10_M.1.1	endothelial_cell	M
P4.MAA000581.3_10_M.1.1	endothelial_cell	M
L19.MAA000581.3_10_M.1.1	endothelial_cell	M
O2.MAA000581.3_10_M.1.1	endothelial_cell	M
L20.MAA000581.3_10_M.1.1	endothelial_cell	M
B8.MAA000615.3_10_M.1.1	endothelial_cell	M
D14.MAA000615.3_10_M.1.1	endothelial_cell	M
L11.MAA000615.3_10_M.1.1	endothelial_cell	M
L13.MAA000615.3_10_M.1.1	endothelial_cell	M
D11.MAA000638.3_9_M.1.1	endothelial_cell	M
E18.MAA000638.3_9_M.1.1	endothelial_cell	M
C11.MAA000638.3_9_M.1.1	endothelial_cell	M
F7.MAA000638.3_9_M.1.1	endothelial_cell	M
N3.MAA000641.3_9_M.1.1	endothelial_cell	M
C12.MAA000641.3_9_M.1.1	endothelial_cell	M
C15.MAA000641.3_9_M.1.1	endothelial_cell	M
G20.MAA000923.3_9_M.1.1	endothelial_cell	M
D17.MAA000923.3_9_M.1.1	endothelial_cell	M
P8.MAA000923.3_9_M.1.1	endothelial_cell	M
L12.MAA000923.3_9_M.1.1	endothelial_cell	M
L17.MAA000923.3_9_M.1.1	endothelial_cell	M
G13.MAA000925.3_9_M.1.1	endothelial_cell	M
C16.MAA000926.3_9_M.1.1	endothelial_cell	M
J15.MAA000926.3_9_M.1.1	endothelial_cell	M
P21.MAA000926.3_9_M.1.1	endothelial_cell	M
C18.MAA000926.3_9_M.1.1	endothelial_cell	M
N14.MAA000926.3_9_M.1.1	endothelial_cell	M
O19.MAA000926.3_9_M.1.1	endothelial_cell	M
A11.MAA000926.3_9_M.1.1	endothelial_cell	M
O20.MAA000926.3_9_M.1.1	endothelial_cell	M
I14.MAA000926.3_9_M.1.1	endothelial_cell	M
L5.MAA000926.3_9_M.1.1	endothelial_cell	M
N16.MAA000926.3_9_M.1.1	endothelial_cell	M
I16.MAA000926.3_9_M.1.1	endothelial_cell	M
M17.MAA000926.3_9_M.1.1	endothelial_cell	M
N22.MAA000926.3_9_M.1.1	endothelial_cell	M
I18.MAA000926.3_9_M.1.1	endothelial_cell	M
F20.MAA000926.3_9_M.1.1	endothelial_cell	M
L12.MAA000926.3_9_M.1.1	endothelial_cell	M
M18.MAA000926.3_9_M.1.1	endothelial_cell	M
P6.MAA000926.3_9_M.1.1	endothelial_cell	M
P8.MAA000926.3_9_M.1.1	endothelial_cell	M
L17.MAA000926.3_9_M.1.1	endothelial_cell	M
L18.MAA000926.3_9_M.1.1	endothelial_cell	M
H14.MAA000926.3_9_M.1.1	endothelial_cell	M
L20.MAA000926.3_9_M.1.1	endothelial_cell	M
H18.MAA000926.3_9_M.1.1	endothelial_cell	M
P15.MAA000926.3_9_M.1.1	endothelial_cell	M
D14.MAA000926.3_9_M.1.1	endothelial_cell	M
E21.MAA000926.3_9_M.1.1	endothelial_cell	M
D15.MAA000926.3_9_M.1.1	endothelial_cell	M
C13.MAA000926.3_9_M.1.1	endothelial_cell	M
K17.MAA000926.3_9_M.1.1	endothelial_cell	M
C14.MAA000926.3_9_M.1.1	endothelial_cell	M
I1.MAA000926.3_9_M.1.1	endothelial_cell	M
J13.MAA000926.3_9_M.1.1	endothelial_cell	M
M4.MAA000926.3_9_M.1.1	endothelial_cell	M
O12.MAA000926.3_9_M.1.1	endothelial_cell	M
B12.MAA000926.3_9_M.1.1	endothelial_cell	M
P19.MAA000926.3_9_M.1.1	endothelial_cell	M
J14.MAA000926.3_9_M.1.1	endothelial_cell	M
D14.MAA000930.3_8_M.1.1	endothelial_cell	M
M22.MAA000930.3_8_M.1.1	endothelial_cell	M
B3.MAA000930.3_8_M.1.1	endothelial_cell	M
E4.MAA000930.3_8_M.1.1	endothelial_cell	M
N22.MAA000930.3_8_M.1.1	endothelial_cell	M
B20.MAA000930.3_8_M.1.1	endothelial_cell	M
F15.MAA000930.3_8_M.1.1	endothelial_cell	M
O22.MAA000930.3_8_M.1.1	endothelial_cell	M
G22.MAA000930.3_8_M.1.1	endothelial_cell	M
A15.MAA000930.3_8_M.1.1	endothelial_cell	M
A18.MAA000930.3_8_M.1.1	endothelial_cell	M
B9.MAA000932.3_11_M.1.1	endothelial_cell	M
D5.MAA000932.3_11_M.1.1	endothelial_cell	M
O4.MAA000932.3_11_M.1.1	endothelial_cell	M
F10.MAA000932.3_11_M.1.1	endothelial_cell	M
D7.MAA000932.3_11_M.1.1	endothelial_cell	M
F11.MAA000932.3_11_M.1.1	endothelial_cell	M
K2.MAA000932.3_11_M.1.1	endothelial_cell	M
M4.MAA000932.3_11_M.1.1	endothelial_cell	M
P20.MAA000932.3_11_M.1.1	endothelial_cell	M
B11.MAA000932.3_11_M.1.1	endothelial_cell	M
A1.MAA000932.3_11_M.1.1	endothelial_cell	M
I3.MAA000932.3_11_M.1.1	endothelial_cell	M
K3.MAA000932.3_11_M.1.1	endothelial_cell	M
M5.MAA000932.3_11_M.1.1	endothelial_cell	M
O7.MAA000932.3_11_M.1.1	endothelial_cell	M
E1.MAA000932.3_11_M.1.1	endothelial_cell	M
K4.MAA000932.3_11_M.1.1	endothelial_cell	M
K5.MAA000932.3_11_M.1.1	endothelial_cell	M
O9.MAA000932.3_11_M.1.1	endothelial_cell	M
A2.MAA000932.3_11_M.1.1	endothelial_cell	M
E2.MAA000932.3_11_M.1.1	endothelial_cell	M
G2.MAA000932.3_11_M.1.1	endothelial_cell	M
E3.MAA000932.3_11_M.1.1	endothelial_cell	M
G3.MAA000932.3_11_M.1.1	endothelial_cell	M
A3.MAA000932.3_11_M.1.1	endothelial_cell	M
I7.MAA000932.3_11_M.1.1	endothelial_cell	M
K6.MAA000932.3_11_M.1.1	endothelial_cell	M
M8.MAA000932.3_11_M.1.1	endothelial_cell	M
O10.MAA000932.3_11_M.1.1	endothelial_cell	M
