Cell	Cell_Type	Gender
H22.MAA000398.3_9_M.1.1	cardiac_muscle_cell	M
C17.MAA000398.3_9_M.1.1	cardiac_muscle_cell	M
I2.MAA000400.3_8_M.1.1	cardiac_muscle_cell	M
J15.MAA000586.3_8_M.1.1	cardiac_muscle_cell	M
I8.MAA000586.3_8_M.1.1	cardiac_muscle_cell	M
N4.MAA000899.3_10_M.1.1	cardiac_muscle_cell	M
B20.MAA000903.3_11_M.1.1	cardiac_muscle_cell	M
H16.MAA000903.3_11_M.1.1	cardiac_muscle_cell	M
L11.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
N3.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
P11.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
I13.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
E13.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
L21.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
N13.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
N17.MAA000919.3_10_M.1.1	cardiac_muscle_cell	M
C13.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
I9.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
B14.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
O11.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
D2.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
G22.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
J1.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
F7.MAA000920.3_11_M.1.1	cardiac_muscle_cell	M
O16.B000633.3_56_F.1.1	cardiac_muscle_cell	F
I4.B000633.3_56_F.1.1	cardiac_muscle_cell	F
M9.B000633.3_56_F.1.1	cardiac_muscle_cell	F
E20.B000633.3_56_F.1.1	cardiac_muscle_cell	F
P18.B000634.3_56_F.1.1	cardiac_muscle_cell	F
O19.B000636.3_56_F.1.1	cardiac_muscle_cell	F
G18.B002010.3_39_F.1.1	cardiac_muscle_cell	F
F16.B002010.3_39_F.1.1	cardiac_muscle_cell	F
K13.B002011.3_38_F.1.1	cardiac_muscle_cell	F
K20.B002421.3_39_F.1.1	cardiac_muscle_cell	F
I12.B002421.3_39_F.1.1	cardiac_muscle_cell	F
I8.B002427.3_39_F.1.1	cardiac_muscle_cell	F
I17.B002427.3_39_F.1.1	cardiac_muscle_cell	F
O6.B002427.3_39_F.1.1	cardiac_muscle_cell	F
E7.B002428.3_38_F.1.1	cardiac_muscle_cell	F
G1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
H1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
B1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
C1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
D1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
E1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
A1.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
C2.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
D2.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
F3.MAA100037.3_10_M.1.1	cardiac_muscle_cell	M
