Cell	Cell_Type	Gender
H15.MAA000398.3_9_M.1.1	endocardial_cell	M
G16.MAA000398.3_9_M.1.1	endocardial_cell	M
F6.MAA000398.3_9_M.1.1	endocardial_cell	M
J9.MAA000399.3_9_M.1.1	endocardial_cell	M
M7.MAA000399.3_9_M.1.1	endocardial_cell	M
D5.MAA000400.3_8_M.1.1	endocardial_cell	M
E3.MAA000400.3_8_M.1.1	endocardial_cell	M
F2.MAA000400.3_8_M.1.1	endocardial_cell	M
F19.MAA000400.3_8_M.1.1	endocardial_cell	M
P16.MAA000586.3_8_M.1.1	endocardial_cell	M
J2.MAA000586.3_8_M.1.1	endocardial_cell	M
M19.MAA000586.3_8_M.1.1	endocardial_cell	M
P18.MAA000586.3_8_M.1.1	endocardial_cell	M
C20.MAA000586.3_8_M.1.1	endocardial_cell	M
P8.MAA000586.3_8_M.1.1	endocardial_cell	M
B19.MAA000586.3_8_M.1.1	endocardial_cell	M
K13.MAA000586.3_8_M.1.1	endocardial_cell	M
M3.MAA000587.3_8_M.1.1	endocardial_cell	M
C9.MAA000589.3_9_M.1.1	endocardial_cell	M
G1.MAA000589.3_9_M.1.1	endocardial_cell	M
L17.MAA000899.3_10_M.1.1	endocardial_cell	M
O21.MAA000899.3_10_M.1.1	endocardial_cell	M
P18.MAA000899.3_10_M.1.1	endocardial_cell	M
I19.MAA000899.3_10_M.1.1	endocardial_cell	M
D18.MAA000901.3_10_M.1.1	endocardial_cell	M
G22.MAA000901.3_10_M.1.1	endocardial_cell	M
G14.MAA000903.3_11_M.1.1	endocardial_cell	M
G17.MAA000903.3_11_M.1.1	endocardial_cell	M
L1.MAA000903.3_11_M.1.1	endocardial_cell	M
N3.MAA000903.3_11_M.1.1	endocardial_cell	M
N9.MAA000918.3_10_M.1.1	endocardial_cell	M
H13.MAA000919.3_10_M.1.1	endocardial_cell	M
N7.MAA000919.3_10_M.1.1	endocardial_cell	M
L14.MAA000919.3_10_M.1.1	endocardial_cell	M
I17.MAA000919.3_10_M.1.1	endocardial_cell	M
