Cell	Cell_Type	Gender
B12.MAA000398.3_9_M.1.1	fibroblast	M
N18.MAA000398.3_9_M.1.1	fibroblast	M
B14.MAA000398.3_9_M.1.1	fibroblast	M
D17.MAA000398.3_9_M.1.1	fibroblast	M
J15.MAA000398.3_9_M.1.1	fibroblast	M
L19.MAA000398.3_9_M.1.1	fibroblast	M
J16.MAA000398.3_9_M.1.1	fibroblast	M
B15.MAA000398.3_9_M.1.1	fibroblast	M
L22.MAA000398.3_9_M.1.1	fibroblast	M
B20.MAA000398.3_9_M.1.1	fibroblast	M
H19.MAA000398.3_9_M.1.1	fibroblast	M
J19.MAA000398.3_9_M.1.1	fibroblast	M
M4.MAA000398.3_9_M.1.1	fibroblast	M
B21.MAA000398.3_9_M.1.1	fibroblast	M
F19.MAA000398.3_9_M.1.1	fibroblast	M
H20.MAA000398.3_9_M.1.1	fibroblast	M
A1.MAA000398.3_9_M.1.1	fibroblast	M
C1.MAA000398.3_9_M.1.1	fibroblast	M
F20.MAA000398.3_9_M.1.1	fibroblast	M
A3.MAA000398.3_9_M.1.1	fibroblast	M
M6.MAA000398.3_9_M.1.1	fibroblast	M
G10.MAA000398.3_9_M.1.1	fibroblast	M
K6.MAA000398.3_9_M.1.1	fibroblast	M
M10.MAA000398.3_9_M.1.1	fibroblast	M
I12.MAA000398.3_9_M.1.1	fibroblast	M
M13.MAA000398.3_9_M.1.1	fibroblast	M
E12.MAA000398.3_9_M.1.1	fibroblast	M
I13.MAA000398.3_9_M.1.1	fibroblast	M
A14.MAA000398.3_9_M.1.1	fibroblast	M
C16.MAA000398.3_9_M.1.1	fibroblast	M
E14.MAA000398.3_9_M.1.1	fibroblast	M
E15.MAA000398.3_9_M.1.1	fibroblast	M
I15.MAA000398.3_9_M.1.1	fibroblast	M
A18.MAA000398.3_9_M.1.1	fibroblast	M
I17.MAA000398.3_9_M.1.1	fibroblast	M
L4.MAA000398.3_9_M.1.1	fibroblast	M
A20.MAA000398.3_9_M.1.1	fibroblast	M
C21.MAA000398.3_9_M.1.1	fibroblast	M
M21.MAA000398.3_9_M.1.1	fibroblast	M
A21.MAA000398.3_9_M.1.1	fibroblast	M
E19.MAA000398.3_9_M.1.1	fibroblast	M
I20.MAA000398.3_9_M.1.1	fibroblast	M
L7.MAA000398.3_9_M.1.1	fibroblast	M
D10.MAA000398.3_9_M.1.1	fibroblast	M
J7.MAA000398.3_9_M.1.1	fibroblast	M
N7.MAA000398.3_9_M.1.1	fibroblast	M
B1.MAA000398.3_9_M.1.1	fibroblast	M
E21.MAA000398.3_9_M.1.1	fibroblast	M
H8.MAA000398.3_9_M.1.1	fibroblast	M
L11.MAA000398.3_9_M.1.1	fibroblast	M
E22.MAA000398.3_9_M.1.1	fibroblast	M
J10.MAA000398.3_9_M.1.1	fibroblast	M
L12.MAA000398.3_9_M.1.1	fibroblast	M
N11.MAA000398.3_9_M.1.1	fibroblast	M
H11.MAA000398.3_9_M.1.1	fibroblast	M
J11.MAA000398.3_9_M.1.1	fibroblast	M
D14.MAA000398.3_9_M.1.1	fibroblast	M
N12.MAA000398.3_9_M.1.1	fibroblast	M
N13.MAA000398.3_9_M.1.1	fibroblast	M
H13.MAA000398.3_9_M.1.1	fibroblast	M
