Cell	Cell_Type	Gender
D16.MAA000398.3_9_M.1.1	endothelial_cell	M
L20.MAA000398.3_9_M.1.1	endothelial_cell	M
J17.MAA000398.3_9_M.1.1	endothelial_cell	M
D21.MAA000398.3_9_M.1.1	endothelial_cell	M
F17.MAA000398.3_9_M.1.1	endothelial_cell	M
M5.MAA000398.3_9_M.1.1	endothelial_cell	M
E7.MAA000398.3_9_M.1.1	endothelial_cell	M
I3.MAA000398.3_9_M.1.1	endothelial_cell	M
E10.MAA000398.3_9_M.1.1	endothelial_cell	M
E11.MAA000398.3_9_M.1.1	endothelial_cell	M
M12.MAA000398.3_9_M.1.1	endothelial_cell	M
C14.MAA000398.3_9_M.1.1	endothelial_cell	M
G12.MAA000398.3_9_M.1.1	endothelial_cell	M
E13.MAA000398.3_9_M.1.1	endothelial_cell	M
G15.MAA000398.3_9_M.1.1	endothelial_cell	M
M15.MAA000398.3_9_M.1.1	endothelial_cell	M
K18.MAA000398.3_9_M.1.1	endothelial_cell	M
M17.MAA000398.3_9_M.1.1	endothelial_cell	M
I16.MAA000398.3_9_M.1.1	endothelial_cell	M
M18.MAA000398.3_9_M.1.1	endothelial_cell	M
E16.MAA000398.3_9_M.1.1	endothelial_cell	M
A19.MAA000398.3_9_M.1.1	endothelial_cell	M
E17.MAA000398.3_9_M.1.1	endothelial_cell	M
G19.MAA000398.3_9_M.1.1	endothelial_cell	M
I18.MAA000398.3_9_M.1.1	endothelial_cell	M
M20.MAA000398.3_9_M.1.1	endothelial_cell	M
M22.MAA000398.3_9_M.1.1	endothelial_cell	M
N10.MAA000398.3_9_M.1.1	endothelial_cell	M
H10.MAA000398.3_9_M.1.1	endothelial_cell	M
D12.MAA000398.3_9_M.1.1	endothelial_cell	M
F3.MAA000398.3_9_M.1.1	endothelial_cell	M
J13.MAA000398.3_9_M.1.1	endothelial_cell	M
L16.MAA000398.3_9_M.1.1	endothelial_cell	M
P17.MAA000398.3_9_M.1.1	endothelial_cell	M
