Cell	Cell_Type	Gender
J14.MAA000398.3_9_M.1.1	leukocyte	M
F14.MAA000398.3_9_M.1.1	leukocyte	M
H16.MAA000398.3_9_M.1.1	leukocyte	M
F15.MAA000398.3_9_M.1.1	leukocyte	M
D18.MAA000398.3_9_M.1.1	leukocyte	M
B18.MAA000398.3_9_M.1.1	leukocyte	M
F16.MAA000398.3_9_M.1.1	leukocyte	M
M9.MAA000398.3_9_M.1.1	leukocyte	M
E9.MAA000398.3_9_M.1.1	leukocyte	M
G3.MAA000398.3_9_M.1.1	leukocyte	M
I8.MAA000398.3_9_M.1.1	leukocyte	M
A10.MAA000398.3_9_M.1.1	leukocyte	M
K14.MAA000398.3_9_M.1.1	leukocyte	M
C15.MAA000398.3_9_M.1.1	leukocyte	M
G17.MAA000398.3_9_M.1.1	leukocyte	M
C18.MAA000398.3_9_M.1.1	leukocyte	M
G20.MAA000398.3_9_M.1.1	leukocyte	M
H5.MAA000398.3_9_M.1.1	leukocyte	M
H6.MAA000398.3_9_M.1.1	leukocyte	M
J9.MAA000398.3_9_M.1.1	leukocyte	M
B7.MAA000398.3_9_M.1.1	leukocyte	M
O14.MAA000398.3_9_M.1.1	leukocyte	M
P2.MAA000399.3_9_M.1.1	leukocyte	M
K18.MAA000399.3_9_M.1.1	leukocyte	M
P4.MAA000399.3_9_M.1.1	leukocyte	M
J13.MAA000399.3_9_M.1.1	leukocyte	M
L6.MAA000399.3_9_M.1.1	leukocyte	M
M18.MAA000399.3_9_M.1.1	leukocyte	M
L12.MAA000399.3_9_M.1.1	leukocyte	M
L22.MAA000399.3_9_M.1.1	leukocyte	M
B1.MAA000399.3_9_M.1.1	leukocyte	M
D3.MAA000400.3_8_M.1.1	leukocyte	M
P4.MAA000400.3_8_M.1.1	leukocyte	M
N18.MAA000400.3_8_M.1.1	leukocyte	M
M12.MAA000400.3_8_M.1.1	leukocyte	M
P8.MAA000400.3_8_M.1.1	leukocyte	M
B16.MAA000400.3_8_M.1.1	leukocyte	M
E4.MAA000400.3_8_M.1.1	leukocyte	M
E6.MAA000400.3_8_M.1.1	leukocyte	M
