Cell	Cell_Type	Gender
O5.MAA000570.3_8_M.1.1	microglial_cell	M
C3.MAA000570.3_8_M.1.1	microglial_cell	M
F17.MAA000570.3_8_M.1.1	microglial_cell	M
I17.MAA000570.3_8_M.1.1	microglial_cell	M
K17.MAA000570.3_8_M.1.1	microglial_cell	M
M12.MAA000570.3_8_M.1.1	microglial_cell	M
P16.MAA000570.3_8_M.1.1	microglial_cell	M
C4.MAA000570.3_8_M.1.1	microglial_cell	M
F21.MAA000570.3_8_M.1.1	microglial_cell	M
I20.MAA000570.3_8_M.1.1	microglial_cell	M
K20.MAA000570.3_8_M.1.1	microglial_cell	M
M15.MAA000570.3_8_M.1.1	microglial_cell	M
O6.MAA000570.3_8_M.1.1	microglial_cell	M
P17.MAA000570.3_8_M.1.1	microglial_cell	M
C5.MAA000570.3_8_M.1.1	microglial_cell	M
G1.MAA000570.3_8_M.1.1	microglial_cell	M
I21.MAA000570.3_8_M.1.1	microglial_cell	M
K21.MAA000570.3_8_M.1.1	microglial_cell	M
M16.MAA000570.3_8_M.1.1	microglial_cell	M
O7.MAA000570.3_8_M.1.1	microglial_cell	M
P18.MAA000570.3_8_M.1.1	microglial_cell	M
P19.MAA000570.3_8_M.1.1	microglial_cell	M
C8.MAA000570.3_8_M.1.1	microglial_cell	M
G3.MAA000570.3_8_M.1.1	microglial_cell	M
I22.MAA000570.3_8_M.1.1	microglial_cell	M
K22.MAA000570.3_8_M.1.1	microglial_cell	M
M17.MAA000570.3_8_M.1.1	microglial_cell	M
O8.MAA000570.3_8_M.1.1	microglial_cell	M
M18.MAA000570.3_8_M.1.1	microglial_cell	M
O9.MAA000570.3_8_M.1.1	microglial_cell	M
P20.MAA000570.3_8_M.1.1	microglial_cell	M
C12.MAA000570.3_8_M.1.1	microglial_cell	M
J1.MAA000570.3_8_M.1.1	microglial_cell	M
L1.MAA000570.3_8_M.1.1	microglial_cell	M
M20.MAA000570.3_8_M.1.1	microglial_cell	M
O10.MAA000570.3_8_M.1.1	microglial_cell	M
C14.MAA000570.3_8_M.1.1	microglial_cell	M
J4.MAA000570.3_8_M.1.1	microglial_cell	M
L2.MAA000570.3_8_M.1.1	microglial_cell	M
J5.MAA000570.3_8_M.1.1	microglial_cell	M
L3.MAA000570.3_8_M.1.1	microglial_cell	M
M22.MAA000570.3_8_M.1.1	microglial_cell	M
O11.MAA000570.3_8_M.1.1	microglial_cell	M
A1.MAA000570.3_8_M.1.1	microglial_cell	M
D1.MAA000570.3_8_M.1.1	microglial_cell	M
G7.MAA000570.3_8_M.1.1	microglial_cell	M
L4.MAA000570.3_8_M.1.1	microglial_cell	M
O12.MAA000570.3_8_M.1.1	microglial_cell	M
A2.MAA000570.3_8_M.1.1	microglial_cell	M
D3.MAA000570.3_8_M.1.1	microglial_cell	M
J7.MAA000570.3_8_M.1.1	microglial_cell	M
N2.MAA000570.3_8_M.1.1	microglial_cell	M
O13.MAA000570.3_8_M.1.1	microglial_cell	M
A3.MAA000570.3_8_M.1.1	microglial_cell	M
D5.MAA000570.3_8_M.1.1	microglial_cell	M
H1.MAA000570.3_8_M.1.1	microglial_cell	M
J12.MAA000570.3_8_M.1.1	microglial_cell	M
L5.MAA000570.3_8_M.1.1	microglial_cell	M
A4.MAA000570.3_8_M.1.1	microglial_cell	M
A11.MAA000570.3_8_M.1.1	microglial_cell	M
D8.MAA000570.3_8_M.1.1	microglial_cell	M
D6.MAA000570.3_8_M.1.1	microglial_cell	M
H3.MAA000570.3_8_M.1.1	microglial_cell	M
J17.MAA000570.3_8_M.1.1	microglial_cell	M
H2.MAA000570.3_8_M.1.1	microglial_cell	M
J15.MAA000570.3_8_M.1.1	microglial_cell	M
L6.MAA000570.3_8_M.1.1	microglial_cell	M
N3.MAA000570.3_8_M.1.1	microglial_cell	M
O14.MAA000570.3_8_M.1.1	microglial_cell	M
L14.MAA000570.3_8_M.1.1	microglial_cell	M
N5.MAA000570.3_8_M.1.1	microglial_cell	M
O20.MAA000570.3_8_M.1.1	microglial_cell	M
D14.MAA000570.3_8_M.1.1	microglial_cell	M
H5.MAA000570.3_8_M.1.1	microglial_cell	M
J19.MAA000570.3_8_M.1.1	microglial_cell	M
A15.MAA000570.3_8_M.1.1	microglial_cell	M
L19.MAA000570.3_8_M.1.1	microglial_cell	M
N9.MAA000570.3_8_M.1.1	microglial_cell	M
O22.MAA000570.3_8_M.1.1	microglial_cell	M
D16.MAA000570.3_8_M.1.1	microglial_cell	M
H17.MAA000570.3_8_M.1.1	microglial_cell	M
J21.MAA000570.3_8_M.1.1	microglial_cell	M
