Cell	Cell_Type	Gender
F11.MAA000538.3_8_M.1.1	oligodendrocyte	M
K3.MAA000538.3_8_M.1.1	oligodendrocyte	M
O14.MAA000538.3_8_M.1.1	oligodendrocyte	M
O19.MAA000538.3_8_M.1.1	oligodendrocyte	M
L7.MAA000538.3_8_M.1.1	oligodendrocyte	M
P18.MAA000550.3_10_M.1.1	oligodendrocyte	M
G3.MAA000550.3_10_M.1.1	oligodendrocyte	M
M21.MAA000550.3_10_M.1.1	oligodendrocyte	M
N11.MAA000550.3_10_M.1.1	oligodendrocyte	M
O11.MAA000550.3_10_M.1.1	oligodendrocyte	M
D15.MAA000550.3_10_M.1.1	oligodendrocyte	M
J20.MAA000553.3_10_M.1.1	oligodendrocyte	M
L21.MAA000553.3_10_M.1.1	oligodendrocyte	M
M20.MAA000553.3_10_M.1.1	oligodendrocyte	M
D13.MAA000553.3_10_M.1.1	oligodendrocyte	M
F22.MAA000553.3_10_M.1.1	oligodendrocyte	M
H13.MAA000553.3_10_M.1.1	oligodendrocyte	M
A16.MAA000560.3_10_M.1.1	oligodendrocyte	M
C1.MAA000560.3_10_M.1.1	oligodendrocyte	M
D11.MAA000560.3_10_M.1.1	oligodendrocyte	M
E22.MAA000560.3_10_M.1.1	oligodendrocyte	M
G7.MAA000560.3_10_M.1.1	oligodendrocyte	M
J4.MAA000560.3_10_M.1.1	oligodendrocyte	M
C2.MAA000560.3_10_M.1.1	oligodendrocyte	M
D12.MAA000560.3_10_M.1.1	oligodendrocyte	M
G8.MAA000560.3_10_M.1.1	oligodendrocyte	M
H18.MAA000560.3_10_M.1.1	oligodendrocyte	M
J5.MAA000560.3_10_M.1.1	oligodendrocyte	M
K12.MAA000560.3_10_M.1.1	oligodendrocyte	M
L17.MAA000560.3_10_M.1.1	oligodendrocyte	M
O8.MAA000560.3_10_M.1.1	oligodendrocyte	M
N1.MAA000560.3_10_M.1.1	oligodendrocyte	M
O7.MAA000560.3_10_M.1.1	oligodendrocyte	M
K13.MAA000560.3_10_M.1.1	oligodendrocyte	M
L19.MAA000560.3_10_M.1.1	oligodendrocyte	M
N3.MAA000560.3_10_M.1.1	oligodendrocyte	M
A19.MAA000560.3_10_M.1.1	oligodendrocyte	M
C5.MAA000560.3_10_M.1.1	oligodendrocyte	M
A18.MAA000560.3_10_M.1.1	oligodendrocyte	M
C3.MAA000560.3_10_M.1.1	oligodendrocyte	M
D14.MAA000560.3_10_M.1.1	oligodendrocyte	M
G9.MAA000560.3_10_M.1.1	oligodendrocyte	M
D15.MAA000560.3_10_M.1.1	oligodendrocyte	M
P15.MAA000560.3_10_M.1.1	oligodendrocyte	M
A20.MAA000560.3_10_M.1.1	oligodendrocyte	M
F4.MAA000560.3_10_M.1.1	oligodendrocyte	M
C6.MAA000560.3_10_M.1.1	oligodendrocyte	M
