Cell	Cell_Type	Gender
F10.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
L17.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
C10.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K4.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A9.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
G11.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K13.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A11.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A13.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
M19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
C19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
I22.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
L9.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A22.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
P19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
P20.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
O18.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
N22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
N1.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
G1.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
I21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
P22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
I22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
O14.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
E16.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
K11.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
L20.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
L21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
O22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
B6.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P6.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
E5.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
L3.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P13.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
F3.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P21.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
J17.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
F22.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
A7.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
N13.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
D8.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
G21.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
M13.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
D9.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
D11.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
K21.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
